Mã vạch,Tên sản phẩm,Ảnh,Danh mục,Tags,Giá bán,Số lượng,Tồn kho,Ghi chú,Cập nhật lúc
8936177701155,Nước ép ổi,Hình ảnh (url1,url2...),Nhóm hàng(3 Cấp),180,0,0,,
7894904280940,Chicken sausege,,Bánh Kẹo,banhkeo; Bánh Kẹo,450,0,,,
4580525722213,Vỏ ram Hà Tĩnh sweet rice Paper 揚げ春巻き用ライスペーパー ichiba foods,,Bánh Kẹo,banhkeo; Bánh Kẹo,290,0,,,
8938507123200,Viên rau củ hải sản giang minh food 500g,,Bánh Kẹo,banhkeo; Bánh Kẹo,900,0,,,
8936216430640,Viên thả lẩu LC 500g,,Đồ khô>>Gia Vị,dokhogiavi; Đồ khô>>Gia Vị,1,0,,,
8938529985862,Viên cua tuyết Alaska,,GV indo,indo; GV indo,1,0,,,
8934717421662,Cá viên ngon,,GV indo,indo; GV indo,950,0,,,
8930000000514,Vỏ ram Hà Tĩnh anh thu,,GV indo,indo; GV indo,290,0,,,
45805257221838936223460777,Hành tím khô,,GV indo,indo; GV indo,500,0,,,
458272405045689361476538804570071980939,Hành tím khô,,GV indo,indo; GV indo,500,0,,,
458272405037145805257233198938539915170,Ớt đông lạnh,,GV indo,indo; GV indo,340,0,,,
89385136555808938513655771,MUỐI TÔM TÂY NINH,,Đông Lạnh,donglanh; Đông Lạnh,250,0,,,
11000038000091100003790003,Pedas spicy,,Rau củ quả,raucuqua; Rau củ quả,470,0,,,
89686386417,racik tempe tauhu goreng,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8996001320136.jpg,Bánh Kẹo,banhkeo; Bánh Kẹo,190,0,,,
89686386066,Racik ayam goreng,,Bánh Kẹo,banhkeo; Bánh Kẹo,190,0,,,
8936104991253,mứt dừa sấy,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8994907001302.jpg,GV indo,indo; GV indo,450,0,,,
89360360274648936036026153,bon ! sốt kem,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8991818000110.jpg,GV indo,indo; GV indo,350,0,,,
452846230569489361503808898938530224264,Bánh tráng gỏi cuốn,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8991818800949.jpg,GV indo,indo; GV indo,320,0,,,
89927352509098995102703091,KUAH BAKSO,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8991818801083.jpg,GV indo,indo; GV indo,190,0,,,
88340000865028834000086519,minthargyi,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8995899250143.jpg,GV indo,indo; GV indo,700,0,,,
893265489717588582650001654589819460503,Đường thốt nốt,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8995899215036.jpg,GV indo,indo; GV indo,500,0,,,
